is_female,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,sleep_hours,target
1,7.96,59.56,85.8,53.94,42.9,66.12,6.72,58.228
0,8.23,78.73,52.96,98.64,46.24,81.2,5.26,6.742
1,2.38,47.86,55.01,92.48,54.71,32.52,5.36,613.085
1,4.3,83.0,53.52,39.61,48.87,74.54,8.29,53.465
0,4.36,98.84,64.91,62.88,86.23,20.59,4.16,7.82
0,2.36,88.27,79.17,70.14,65.02,73.38,5.31,72.291
0,8.19,91.6,84.03,86.42,49.5,92.74,5.12,74.17
1,7.37,61.58,57.48,91.42,51.92,17.65,5.85,60.446
0,2.71,59.49,76.42,71.8,32.79,20.5,7.43,527.095
0,4.3,71.02,80.45,27.64,33.46,60.15,6.66,47.828
0,1.95,42.74,50.78,61.1,80.25,14.18,6.7,592.105
1,6.65,96.72,36.76,91.36,37.9,26.87,7.66,55.816
0,02.09,48.63,92.63,78.56,63.31,27.12,08.06,678.995
1,9.87,94.18,77.4,90.26,88.97,53.31,4.8,8.393
1,08.03,45.01,75.37,75.56,55.79,32.36,4.54,6.122
0,4.51,89.36,34.12,28.3,54.2,52.8,5.51,47.085
0,6.21,49.12,87.25,97.6,91.11,56.91,8.14,843.415
1,9.2,42.29,69.62,93.85,90.54,75.76,6.71,808.805
0,5.99,83.17,89.35,34.49,91.61,95.14,4.71,76.387
0,2.57,56.82,98.22,33.45,70.03,55.34,4.82,63.733
1,4.41,82.87,97.0,65.43,96.66,41.95,8.49,8.207
1,8.59,73.31,89.93,81.78,87.33,33.28,5.83,796.555
0,6.8,46.53,30.77,53.66,59.09,67.12,5.28,51.615
1,6.86,95.93,92.0,35.23,74.07,94.86,7.47,72.211
0,8.8,67.14,35.25,63.29,38.53,78.82,8.3,50.954
0,09.05,84.07,89.58,50.32,68.59,28.55,6.21,657.645
0,9.28,70.06,49.61,51.38,48.42,90.4,7.96,55.76
1,1.85,76.26,72.7,73.37,49.85,76.2,6.15,6.557
0,5.9,58.17,32.66,91.42,38.8,21.52,7.46,50.936
0,7.66,52.02,83.98,66.89,55.07,74.15,6.87,6.541
0,7.81,72.55,37.82,76.57,63.7,36.04,8.47,59.860
1,6.46,66.41,58.75,74.5,72.02,54.23,5.63,67.646
1,2.5,63.41,87.22,66.34,51.34,37.02,7.85,62.041
1,8.18,80.35,78.67,48.31,85.46,17.57,7.42,675.145
1,7.48,81.43,30.42,53.33,66.47,79.17,8.19,58.741
1,1.78,42.76,58.21,48.68,74.66,84.58,07.04,6.267
0,5.17,60.32,32.93,93.81,49.47,30.88,6.3,56.473
1,2.57,64.71,77.14,87.0,86.99,31.57,4.25,772.525
1,04.04,45.81,97.83,68.45,73.7,48.7,8.2,7.192
1,1.16,54.15,75.87,93.42,90.36,83.03,8.55,83.873
0,4.6,43.1,45.71,91.48,41.2,16.95,6.25,52.437
1,5.95,99.77,54.87,94.58,56.65,82.78,5.11,727.015
1,6.58,84.19,98.37,41.63,37.91,93.05,7.24,61.074
0,6.97,45.25,45.68,78.81,45.09,60.54,4.61,55.199
1,8.53,41.21,69.31,70.69,57.62,15.44,4.2,57.366
0,2.94,83.16,58.03,80.04,92.62,34.26,5.45,75.775
0,02.08,66.35,83.78,44.75,68.99,20.02,7.4,60.727
0,8.66,87.21,90.72,77.11,53.13,33.34,08.07,68.072
0,2.41,95.41,53.86,55.74,82.28,83.06,4.78,7.135
0,9.77,75.96,76.23,87.56,31.38,15.01,8.73,57.215
1,8.58,51.23,68.43,84.65,55.91,35.54,6.76,63.094
0,5.51,86.93,49.49,40.85,72.06,56.53,8.63,5.967
0,9.83,97.35,49.04,38.79,70.83,88.66,4.75,6.289
1,1.88,74.81,67.7,78.83,72.53,32.5,6.29,69.364
0,3.73,80.92,40.78,66.29,44.81,80.05,6.15,5.650
1,6.74,60.25,86.76,66.79,53.6,62.52,06.06,650.865
1,4.15,62.89,34.83,81.44,95.21,70.87,8.65,740.255
1,9.36,84.08,36.62,89.12,98.18,87.56,8.25,81.131
0,1.59,95.67,53.96,42.92,51.84,12.38,7.97,50.471
0,5.94,77.74,38.27,66.67,75.12,57.68,5.43,641.555
0,6.32,87.39,63.3,87.17,46.89,77.25,5.7,67.328
1,6.87,50.3,57.98,90.46,55.8,89.61,5.3,67.732
0,3.3,52.72,80.53,46.56,85.46,21.94,7.97,65.123
0,4.28,71.92,96.71,32.81,65.08,40.73,5.96,615.875
0,8.59,50.59,82.75,42.46,89.47,17.07,8.89,652.455
1,2.75,78.1,42.56,95.91,74.01,85.14,5.82,74.717
1,8.44,57.5,95.49,59.69,74.02,87.16,4.85,7.439
0,06.06,87.49,57.45,56.39,32.37,53.52,8.65,5.101
0,7.86,88.49,63.19,25.98,82.48,11.87,7.91,5.803
0,7.42,67.83,59.51,28.83,98.45,19.2,6.92,62.269
0,2.87,50.85,49.64,75.15,63.11,66.19,8.29,62.508
1,6.12,78.81,92.65,69.24,41.1,98.44,8.75,67.95
1,8.81,99.57,53.26,68.16,98.39,85.5,8.31,8.63
1,4.89,77.36,70.5,33.27,50.31,81.81,8.52,5.594
1,9.7,42.15,46.8,51.4,58.64,47.62,5.36,51.711
0,05.07,41.04,85.82,85.93,35.42,98.67,6.55,650.145
0,2.29,59.22,84.19,38.12,37.76,84.25,7.98,53.931
0,4.5,51.75,50.74,91.2,45.16,40.21,6.63,57.95
1,9.57,88.78,77.71,34.11,68.39,77.36,7.21,64.62
0,3.88,90.69,79.27,37.69,69.05,48.93,8.61,63.406
1,8.81,55.52,69.38,60.83,72.44,69.44,5.48,6.693
1,8.93,59.54,72.04,95.9,70.87,97.3,6.7,788.715
0,4.15,54.17,70.21,49.72,64.67,32.18,6.82,577.415
0,1.75,94.5,35.73,74.37,86.15,81.55,5.8,7.349
0,7.52,70.16,76.92,69.15,95.37,63.13,5.84,7.938
1,3.8,79.37,62.88,36.22,48.88,95.5,7.85,56.226
0,08.05,64.93,60.69,43.61,39.11,22.1,8.65,45.432
1,4.98,77.86,90.2,94.76,59.76,74.77,7.17,77.909
0,5.37,63.15,31.63,38.86,31.85,13.34,6.44,348.375
1,8.0,60.38,47.59,77.13,91.83,32.19,7.75,70.198
1,4.44,78.07,38.5,97.35,46.78,38.88,8.99,601.055
0,4.99,75.46,32.47,33.96,68.45,48.9,4.41,513.775
1,4.39,57.61,49.3,54.94,38.06,96.88,7.26,52.365
1,4.31,48.96,99.19,41.79,68.73,16.08,6.78,6.84
0,5.73,62.11,48.92,41.62,32.73,25.21,07.05,403.765
1,8.28,64.91,76.46,33.92,83.82,28.27,4.11,6.242
0,4.26,77.72,38.28,73.72,96.88,48.16,8.78,72.582
1,5.72,94.87,72.13,80.98,51.49,15.46,4.43,637.255
0,07.04,42.17,98.91,75.76,48.08,96.89,5.54,69.456
0,3.42,54.62,50.43,94.35,61.36,60.39,5.49,666.505
1,3.5,51.62,89.37,35.93,73.4,83.2,7.67,6.602
1,9.4,70.14,99.83,48.99,43.23,79.52,7.35,62.31
1,7.51,65.78,71.2,50.84,86.23,69.47,4.31,706.555
1,6.19,83.74,51.66,42.41,43.9,91.4,4.75,538.135
1,6.83,54.54,77.15,35.67,30.38,91.21,5.59,4.955
0,1.26,75.67,89.14,61.5,66.7,21.5,7.52,66.265
1,6.56,93.03,41.99,87.58,38.06,91.17,8.65,6.203
0,5.59,94.64,61.68,96.59,78.88,57.15,5.58,792.705
0,5.91,97.53,52.34,34.7,41.72,34.13,6.63,46.911
1,4.23,86.4,49.84,86.74,87.22,64.77,5.86,77.297
0,1.73,94.36,90.26,86.84,62.93,35.28,6.89,747.515
0,2.74,54.07,59.52,54.17,69.64,53.11,7.14,605.385
0,9.56,51.85,53.74,33.25,43.06,83.48,6.59,47.664
0,4.68,40.39,72.25,99.25,40.27,12.9,5.95,58.686
1,5.2,82.41,45.36,74.17,74.19,26.48,8.4,64.47
0,1.47,96.25,46.09,98.66,47.88,96.09,08.01,69.875
1,1.34,51.22,66.42,61.27,57.01,50.06,8.99,58.683
1,7.45,78.22,58.65,54.64,63.56,37.3,06.06,59.187
0,5.84,84.79,50.65,43.54,46.07,93.1,4.19,549.285
1,5.58,95.66,33.78,98.77,85.68,92.01,7.26,8.20
1,3.19,78.81,66.45,43.99,95.76,13.98,7.92,6.708
1,7.7,98.22,87.16,26.78,60.23,42.62,8.68,592.915
0,2.51,60.68,89.6,63.44,94.23,92.15,04.05,8.204
1,2.71,61.0,46.48,53.28,91.79,26.18,8.4,634.605
1,5.15,72.58,71.97,44.6,41.62,62.04,6.58,53.573
1,3.58,63.01,89.91,72.6,42.14,38.87,5.87,61.069
0,3.23,40.09,58.61,52.32,63.42,76.29,5.11,58.637
1,6.81,83.91,95.25,55.17,66.81,24.24,08.07,67.041
0,6.86,85.1,93.21,26.73,53.88,63.64,5.82,5.905
0,8.42,84.82,44.57,69.18,51.9,10.0,07.02,53.856
0,4.76,60.7,48.13,34.16,60.2,32.73,6.56,48.579
0,1.66,71.34,42.63,41.04,78.33,24.59,5.32,557.945
0,3.46,61.6,43.72,78.78,35.91,28.88,7.94,50.55
0,9.82,40.96,93.55,48.49,79.74,87.44,5.49,715.815
1,6.37,73.75,95.18,37.24,94.84,92.33,7.94,7.814
0,7.39,47.43,33.63,68.31,83.45,77.95,06.05,6.554
1,01.07,44.8,71.55,41.12,43.42,63.11,4.15,50.577
1,5.66,85.33,69.5,45.32,36.12,30.78,7.84,49.483
0,1.34,40.57,57.34,71.6,64.33,34.72,8.5,594.125
1,6.12,97.54,74.22,80.49,96.95,37.89,4.6,8.244
1,9.29,70.92,96.32,80.47,87.33,79.93,6.93,85.032
1,9.72,98.98,41.92,61.17,69.39,32.76,4.36,6.113
1,5.86,43.48,38.43,59.07,40.01,97.61,8.15,50.565
0,5.12,75.01,32.34,84.07,79.97,81.68,8.94,7.114
1,9.51,60.96,55.47,39.48,86.91,99.97,6.47,674.755
0,07.06,90.61,53.63,36.42,95.45,51.33,5.57,674.325
1,1.58,61.67,60.16,74.85,72.85,63.04,8.23,68.713
1,5.19,55.63,65.23,55.71,66.01,35.24,6.6,59.164
0,3.16,91.45,83.05,78.25,73.34,64.34,6.25,7.742
1,5.23,62.48,57.45,44.25,96.03,97.65,5.14,72.176
1,5.1,41.01,53.14,49.37,73.97,12.73,07.08,54.234
1,6.24,63.42,87.88,92.25,48.03,36.04,07.03,67.395
0,4.21,79.27,89.49,56.62,74.53,35.32,5.31,695.975
1,2.48,55.26,46.29,69.32,91.58,98.41,05.06,74.008
0,5.53,65.92,52.03,33.0,69.69,21.94,6.19,518.335
1,8.47,43.4,87.76,38.41,65.19,83.11,6.25,62.622
0,6.98,75.29,35.56,27.69,81.34,34.71,4.64,5.350
0,04.05,85.38,52.81,56.83,76.27,87.45,5.38,68.747
1,9.42,64.8,61.38,99.17,33.97,53.9,4.8,60.828
1,9.21,65.21,43.1,90.54,80.77,31.8,8.51,692.255
0,2.88,45.3,42.59,72.47,58.53,73.88,4.37,59.38
0,1.35,52.12,59.74,89.58,95.86,85.74,8.39,81.68
1,7.67,49.28,82.82,69.56,97.96,52.31,6.64,7.839
0,8.45,68.9,88.82,52.66,61.41,74.26,7.33,667.385
1,9.71,71.76,98.55,38.02,97.82,26.34,8.62,73.262
1,09.01,96.94,35.18,73.98,51.76,94.39,5.83,6.278
1,6.4,44.39,45.17,39.48,77.79,18.68,7.51,524.375
1,5.77,75.99,82.96,56.31,35.25,29.98,7.36,53.604
0,1.25,71.59,67.84,86.94,40.15,35.95,8.94,6.10
1,3.22,70.97,52.94,34.69,90.52,23.75,4.23,604.145
0,5.14,92.39,44.39,34.68,92.56,46.6,6.28,63.843
1,6.66,52.33,49.63,41.83,67.28,51.2,8.95,5.428
0,06.02,42.45,60.05,66.39,53.78,56.67,5.64,573.425
1,7.68,80.34,42.4,43.88,61.57,13.67,8.83,50.400
0,3.52,60.71,97.5,62.74,90.87,29.72,08.08,760.325
0,06.08,41.06,37.53,47.65,44.77,82.7,5.7,47.464
1,1.79,55.08,98.99,62.97,50.64,82.95,4.15,670.675
1,4.72,58.56,88.93,45.82,84.98,39.7,5.4,6.880
1,7.75,77.01,59.62,98.5,95.47,51.51,4.62,8.281
1,7.24,50.36,81.79,61.95,36.5,26.51,6.14,52.307
0,9.92,64.78,77.01,80.77,86.26,83.99,8.7,806.625
1,3.5,68.95,44.93,77.54,75.15,96.1,6.56,711.785
0,5.48,67.55,53.73,61.79,46.15,36.22,6.24,52.723
0,3.97,98.44,65.92,42.91,82.91,80.37,05.08,7.81
1,4.97,42.73,74.65,63.3,80.95,41.72,7.11,675.325
0,8.71,97.06,68.0,76.07,39.94,10.24,6.28,573.265
0,7.16,74.92,63.11,59.49,65.16,63.98,7.86,641.905
0,8.94,87.74,61.02,31.14,83.08,46.94,6.58,62.535
0,2.83,65.82,64.88,26.35,43.41,78.26,8.43,49.165
1,8.86,67.23,60.4,49.59,62.39,77.39,7.92,60.775
1,1.54,92.76,67.89,36.27,38.45,95.14,4.73,5.489
1,9.0,93.76,92.16,92.96,51.48,49.4,4.68,74.006
1,3.96,54.32,74.3,38.19,45.26,53.43,4.12,510.235
0,3.83,51.95,80.58,54.57,65.35,46.04,5.85,6.242
0,5.61,69.77,71.82,78.41,39.89,36.72,4.27,58.577
1,9.47,94.02,75.01,86.16,56.82,67.41,6.25,72.572
1,1.43,59.34,70.48,60.83,49.26,84.52,5.21,60.930
1,4.17,79.12,31.88,38.59,82.22,24.2,6.49,551.325
0,8.71,82.49,99.97,45.32,78.98,98.37,4.79,77.053
1,4.56,86.72,32.35,56.42,36.65,71.54,6.75,4.922
1,2.79,73.84,57.66,52.34,96.74,80.21,8.83,73.881
1,4.82,64.15,37.36,51.15,82.13,99.9,7.19,65.41
0,4.47,98.02,36.78,34.89,73.12,55.36,6.82,57.8
0,9.24,76.68,85.55,93.5,63.44,16.42,7.94,71.999
0,7.86,83.71,59.81,27.23,42.45,81.13,04.03,50.111
0,5.55,60.7,86.08,58.0,97.34,88.37,5.41,8.69
0,9.9,80.2,49.1,98.52,30.55,24.62,8.93,55.624
0,5.19,55.47,47.95,74.48,78.47,12.17,7.91,6.243
0,1.52,54.71,47.59,51.66,65.52,22.22,4.45,5.305
0,3.36,82.88,73.13,35.96,93.18,39.16,5.63,6.843
1,4.92,71.28,87.05,97.29,56.65,93.19,6.2,78.007
1,2.41,81.0,61.66,26.05,66.31,10.22,8.67,51.175
0,9.53,56.17,56.55,76.1,81.96,82.34,6.93,72.872
0,7.9,75.92,98.15,91.01,33.33,86.94,4.39,70.334
1,3.41,66.64,38.17,26.89,33.81,82.99,6.55,41.153
0,6.32,75.82,64.06,79.39,44.82,17.4,5.45,576.685
0,7.49,57.45,58.59,99.91,40.25,71.13,5.69,63.641
0,9.47,82.93,36.87,72.97,30.45,95.85,4.57,54.152
1,8.93,88.36,48.77,56.1,73.61,20.83,6.29,604.615
1,5.64,55.59,31.99,90.58,85.72,12.85,7.35,65.889
1,7.97,58.04,91.39,66.56,97.0,88.63,7.8,83.535
1,06.06,79.67,72.55,81.21,60.86,68.04,7.48,708.845
1,5.97,81.74,87.05,69.08,49.58,68.18,7.3,67.025
0,02.03,82.25,66.51,27.87,90.47,96.8,8.35,69.839
1,2.14,80.96,71.97,40.99,89.11,79.28,5.66,71.854
0,5.77,63.57,79.06,30.91,73.74,45.77,05.07,602.825
0,3.42,63.69,93.56,33.0,49.12,49.23,4.45,55.446
1,1.19,55.29,36.42,26.16,93.6,23.02,4.83,54.415
1,7.51,49.41,53.17,56.59,42.49,37.36,4.75,48.33
0,1.29,81.55,79.63,38.4,33.06,50.09,8.56,50.261
0,6.36,45.59,97.08,89.18,85.76,33.5,4.9,79.636
0,5.85,96.27,98.66,81.25,69.46,92.43,4.47,8.322
1,9.72,89.6,74.67,67.99,47.25,11.06,6.0,58.535
1,5.36,91.45,43.55,61.68,76.96,62.83,4.85,66.494
1,1.57,94.4,38.34,44.19,83.67,79.44,4.65,65.384
1,5.97,64.52,96.22,60.62,89.12,75.89,5.81,79.632
1,8.57,90.8,60.37,73.09,49.75,67.94,8.6,63.632
0,9.97,49.48,43.64,83.67,31.79,46.93,4.15,50.413
1,4.87,41.3,95.37,31.13,65.7,92.66,05.04,632.475
0,3.88,87.09,37.32,78.13,89.93,39.61,8.12,71.142
0,9.16,44.49,81.07,80.7,44.55,77.51,5.23,641.815
0,2.72,99.31,73.77,66.92,59.48,93.4,6.21,7.157
1,6.54,80.49,36.14,41.07,47.95,21.55,4.49,44.482
1,4.65,85.21,53.71,65.44,30.94,95.24,7.98,55.976
1,1.37,54.75,40.5,62.7,92.9,79.84,7.68,69.749
0,4.13,80.43,72.31,60.68,39.45,65.49,4.64,580.315
0,3.39,42.59,63.4,59.55,83.67,43.61,8.74,65.472
0,7.17,90.27,30.3,33.31,54.26,91.38,6.95,515.435
0,9.54,50.18,98.3,38.72,49.44,13.96,7.99,53.058
0,3.41,81.84,54.47,32.3,95.87,48.86,7.82,655.935
0,8.3,53.47,48.07,43.19,76.0,78.1,6.6,601.685
1,1.5,44.11,45.57,44.76,78.08,83.0,7.74,60.343
1,5.84,68.89,41.12,43.38,83.18,28.21,5.19,57.892
1,1.63,50.16,99.94,40.82,53.87,14.28,4.11,55.491
1,9.41,83.77,50.66,80.16,69.46,82.26,5.71,7.108
0,7.9,54.25,58.39,86.39,48.92,47.97,4.76,606.195
0,6.92,60.55,90.99,49.53,88.42,22.92,8.91,6.987
1,8.42,74.05,74.93,47.88,71.95,17.7,8.62,6.131
0,6.83,57.1,55.81,88.3,47.04,67.66,4.72,62.177
1,9.72,62.68,92.88,71.79,92.98,62.45,5.72,815.795
1,7.43,88.94,82.48,47.01,70.66,86.86,6.55,705.595
1,9.32,50.75,45.95,78.52,64.65,12.84,5.99,5.780
0,5.65,44.93,75.06,50.84,32.41,88.16,7.5,52.374
1,02.05,59.7,94.57,68.99,93.69,89.85,6.52,83.908
1,5.75,65.46,64.75,99.45,96.66,50.17,6.83,8.320
1,2.14,72.56,81.35,47.62,69.38,16.9,7.39,61.403
0,6.33,62.35,97.98,94.79,60.98,95.21,4.12,8.39
0,5.34,87.39,78.33,49.05,55.17,16.48,04.06,57.625
1,6.6,42.36,37.17,65.52,48.76,63.16,4.89,51.431
0,01.09,65.91,47.12,59.5,70.22,54.38,7.59,60.905
0,2.75,62.94,71.66,83.74,38.97,85.16,5.2,63.716
0,5.42,78.85,49.29,29.58,94.34,55.23,8.6,63.68
0,9.55,97.98,97.03,72.03,42.32,52.22,4.39,6.724
0,4.45,70.62,58.37,82.05,82.19,89.26,6.9,7.694
0,4.82,99.21,62.01,60.41,51.48,96.76,4.13,6.511
0,7.43,58.13,79.11,32.9,45.82,59.43,8.86,51.84
0,6.43,41.85,66.7,43.36,69.05,50.93,05.07,576.255
0,3.69,49.94,56.75,75.98,83.56,84.8,6.94,73.065
0,4.7,63.71,35.36,92.16,80.87,84.8,8.77,732.675
1,2.96,58.98,71.75,56.62,46.36,38.74,4.15,54.503
1,9.69,45.82,90.73,67.03,53.14,61.86,6.56,642.705
0,2.18,65.96,78.0,42.13,90.82,23.87,6.63,669.025
1,4.35,60.29,56.7,55.92,80.63,67.2,5.76,6.628
1,1.23,47.36,38.94,50.26,79.89,85.06,7.27,6.155
0,3.0,57.77,87.14,74.16,48.82,26.88,6.71,6.152
0,08.02,93.19,95.92,98.85,85.44,39.07,5.25,870.265
0,2.81,58.12,57.18,86.0,55.09,50.4,7.53,630.695
1,1.72,82.84,81.0,39.41,58.1,86.06,6.33,632.775
1,5.27,76.72,58.75,68.33,50.13,75.82,6.35,61.632
0,01.09,65.63,65.16,29.98,38.5,38.52,8.76,44.417
0,1.76,54.34,88.55,43.52,59.43,31.87,6.68,580.115
0,8.27,62.14,35.84,37.92,31.19,72.61,7.92,41.39
1,7.94,75.53,67.12,50.17,61.91,53.19,8.34,60.507
1,9.24,61.05,45.02,75.91,80.75,63.42,6.9,68.691
1,8.69,52.89,53.79,62.45,97.25,68.38,7.93,72.535
1,7.15,46.99,75.11,94.97,35.5,60.28,5.55,6.191
0,1.47,92.79,31.91,40.96,49.69,65.18,4.91,498.105
0,08.05,66.42,71.57,52.32,64.59,89.88,7.48,656.305
0,8.61,77.51,49.84,49.74,41.93,88.14,8.63,536.435
0,8.19,69.42,76.86,42.7,38.18,23.41,4.21,48.693
1,5.58,92.35,39.91,99.49,61.66,62.78,7.82,699.485
1,3.1,72.82,81.51,54.04,70.65,49.54,4.14,6.677
0,8.61,68.85,75.19,95.54,87.41,35.7,6.29,799.715
0,7.54,95.48,97.99,54.29,99.85,66.8,7.39,84.346
1,9.83,83.18,93.79,40.31,84.2,55.98,06.03,722.215
0,2.4,46.69,49.83,33.94,45.49,79.74,5.5,470.155
1,03.03,50.66,31.91,89.17,82.36,18.41,4.93,644.075
0,2.91,87.23,75.88,27.41,67.6,37.24,8.89,5.813
0,8.13,90.15,72.2,97.33,61.56,12.32,6.85,705.655
0,2.68,72.71,31.92,56.36,95.5,77.14,4.64,68.884
0,1.6,73.27,38.59,43.55,79.15,92.12,4.24,62.847
0,9.99,77.92,70.93,71.31,77.72,62.86,5.22,732.935
0,1.22,66.35,93.83,34.97,30.82,65.53,6.69,514.835
0,8.52,80.81,93.46,30.41,90.56,14.18,7.76,6.748
1,4.29,46.51,40.6,87.08,85.53,55.34,8.9,700.105
1,8.57,97.68,56.92,56.85,50.93,57.42,8.17,58.932
1,5.99,85.01,33.02,63.87,50.45,13.51,07.06,50.081
1,9.11,77.87,62.85,38.25,33.74,80.41,7.33,497.695
1,9.34,58.98,82.72,29.61,33.56,35.05,6.61,450.955
0,01.08,49.66,85.3,52.58,76.8,75.11,6.17,6.956
0,1.68,64.56,64.93,62.96,43.04,46.26,7.92,54.872
1,3.25,79.69,36.71,82.41,94.65,99.61,4.89,79.002
0,07.02,78.02,56.7,62.58,88.97,29.1,5.67,688.365
1,8.99,62.96,95.25,83.69,54.42,15.24,8.89,668.395
1,5.14,76.8,46.07,33.66,56.6,98.19,6.86,54.937
0,6.46,88.82,52.38,29.8,52.91,31.95,6.49,48.521
0,2.7,41.58,82.28,36.91,36.47,67.18,8.25,49.324
0,8.24,67.04,81.35,82.9,32.2,43.71,7.81,59.34
1,9.71,85.51,93.85,81.95,61.65,67.57,5.63,76.143
0,3.42,72.77,57.17,35.6,96.01,63.65,7.13,675.795
1,5.45,79.09,66.02,27.32,94.21,73.65,4.93,682.815
1,1.78,71.0,62.72,76.4,86.69,11.66,4.26,702.515
1,06.03,99.51,94.94,89.15,74.0,85.26,8.95,856.525
0,5.53,43.28,83.85,81.56,89.94,53.08,7.69,78.275
0,2.3,69.46,88.2,40.21,66.05,56.7,8.65,63.426
1,4.98,45.48,39.32,68.78,42.61,46.99,8.16,492.195
0,04.01,49.59,85.43,81.8,77.89,99.04,6.14,796.605
0,5.7,62.98,60.31,44.19,94.45,82.14,8.31,70.679
0,6.27,49.33,31.63,64.58,31.37,38.03,7.93,42.186
1,01.08,97.82,34.21,48.58,47.6,80.48,5.29,53.477
1,7.85,96.81,77.45,41.92,48.58,49.33,7.12,57.587
0,7.42,60.17,56.04,97.72,36.93,88.3,5.53,634.105
1,4.3,78.38,90.77,93.44,45.78,12.78,5.17,6.665
0,1.48,72.03,81.4,58.43,56.88,41.99,4.41,62.197
0,7.79,88.94,31.52,35.26,95.79,48.68,6.72,624.075
0,9.6,77.65,78.08,79.59,90.22,76.98,5.96,825.535
0,3.16,40.02,43.46,44.18,96.22,26.41,4.44,60.057
1,3.91,85.79,59.58,37.64,38.44,35.77,7.59,46.936
1,2.65,84.81,73.73,53.61,31.96,75.15,7.62,5.533
1,6.19,70.58,91.09,64.74,37.69,16.92,5.18,563.445
0,2.39,94.18,61.93,32.31,94.0,28.1,8.78,6.559
0,4.21,94.51,86.59,67.88,41.02,77.8,7.89,65.876
0,7.27,71.43,84.81,26.15,70.08,88.8,08.03,640.505
1,06.04,76.48,59.02,91.89,45.93,75.59,04.02,66.059
0,4.48,99.79,65.07,94.06,31.44,57.44,8.89,6.325
1,4.78,57.93,79.03,79.98,35.92,18.92,8.95,5.605
1,06.06,59.48,32.18,59.99,79.69,84.45,6.54,63.718
1,01.05,50.97,92.36,44.12,42.77,21.16,8.93,5.168
1,1.71,93.75,83.89,80.81,46.04,44.66,07.06,669.355
1,8.93,84.67,47.46,94.88,56.41,14.54,4.67,628.765
1,1.7,46.34,98.68,36.89,76.01,73.87,08.07,67.583
0,7.36,98.91,42.56,59.94,62.86,55.31,6.79,60.919
0,9.28,83.86,93.99,48.64,96.12,91.68,5.71,82.154
1,3.44,91.03,52.71,51.76,60.39,22.49,5.18,559.705
1,4.33,42.89,83.42,55.43,43.94,83.72,6.59,585.815
0,6.12,70.3,61.95,96.38,67.53,55.96,7.46,727.465
1,8.94,81.92,81.55,44.4,61.56,42.95,8.39,61.443
1,9.48,72.58,40.9,61.95,85.1,67.92,6.99,675.025
0,7.66,80.0,48.87,96.36,95.46,81.14,06.08,8.338
1,1.78,89.07,36.99,60.7,88.54,49.63,7.16,67.432
1,07.02,62.46,90.56,89.77,57.23,30.95,6.48,69.926
1,4.69,90.92,50.74,29.41,45.13,92.42,7.26,5.163
0,5.24,49.77,78.61,96.48,94.01,38.17,07.04,815.395
0,1.44,56.25,87.42,39.06,57.02,99.84,8.89,62.815
0,2.72,42.6,93.1,98.5,83.91,79.06,7.11,8.477
1,8.11,61.87,37.44,38.17,99.27,71.9,7.46,6.515
1,05.09,62.79,92.51,58.33,70.42,11.12,8.46,651.225
0,3.71,88.32,43.81,48.15,63.59,50.37,8.57,56.925
1,4.46,79.19,81.58,57.49,78.99,55.22,4.7,71.776
1,8.69,66.2,81.02,43.79,43.58,43.87,6.27,53.411
1,7.74,79.13,30.6,97.4,64.18,23.5,8.71,6.319
1,3.45,43.17,45.44,47.93,51.86,43.07,8.8,478.455
1,02.06,50.82,64.43,74.0,41.5,16.75,4.95,52.668
0,3.27,77.62,59.4,35.31,72.71,36.18,6.22,57.536
1,9.29,78.48,94.3,86.83,70.3,17.53,5.39,7.477
0,6.23,86.45,55.18,65.69,83.28,77.72,7.95,730.235
1,5.8,64.18,95.59,98.46,91.11,70.4,8.26,8.907
0,6.37,83.35,62.16,56.76,45.43,94.59,6.35,60.316
1,4.29,81.04,97.5,39.66,84.58,44.19,7.38,71.541
0,8.26,97.8,81.61,50.95,55.72,80.76,8.35,6.641
1,5.71,52.91,88.05,80.27,74.02,62.88,7.55,7.516
0,02.05,73.1,37.34,74.43,89.52,68.15,4.78,715.325
1,2.16,76.11,71.03,83.38,47.93,59.27,7.56,6.536
0,5.83,99.92,39.99,30.51,72.07,80.12,4.79,58.854
1,9.43,52.07,50.83,68.53,63.62,13.78,7.27,561.505
0,3.78,71.39,73.65,94.91,85.34,17.24,5.67,7.718
0,8.83,60.77,80.84,33.09,78.81,18.63,4.28,59.964
1,7.88,71.55,32.74,32.08,83.87,35.98,5.13,546.755
1,3.23,53.93,67.17,78.75,50.16,63.2,6.34,62.390
0,1.33,42.86,69.57,48.64,79.3,68.11,8.97,6.492
1,1.92,74.35,35.52,74.39,72.41,74.13,5.28,65.893
0,7.56,60.15,65.05,65.9,61.97,35.27,8.89,60.716
0,2.8,50.92,79.97,98.95,56.48,68.52,5.82,724.435
0,4.34,59.44,33.73,91.68,53.21,20.59,8.8,56.292
1,5.52,42.96,83.22,75.86,30.68,10.9,8.78,51.733
0,7.53,97.03,70.35,44.63,41.87,72.52,4.71,56.837
0,02.02,74.87,88.33,44.64,34.13,74.41,8.14,5.569
1,4.66,88.89,45.26,91.17,89.39,65.99,6.59,78.619
1,5.37,65.39,88.33,68.9,90.21,33.3,7.43,763.335
1,5.87,94.2,36.62,84.2,89.23,93.47,7.88,783.715
